Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
196,Exit long,2026-04-20 06:00,S2_SL,4765.305,2,9626.882,-96.27,-1.00,155.05,1.61,-96.27,-1.00,7997.01,79.97
196,Entry long,2026-04-16 17:00,S2_LE,4813.441,2,9626.882,-96.27,-1.00,155.05,1.61,-96.27,-1.00,7997.01,79.97
197,Exit long,2026-04-20 07:30,S2_SL,4737.151,2,9570.006,-95.7,-1.00,11.63,0.12,-95.7,-1.00,7901.31,79.01
197,Entry long,2026-04-20 06:30,S2_LE,4785.003,2,9570.006,-95.7,-1.00,11.63,0.12,-95.7,-1.00,7901.31,79.01
198,Exit long,2026-04-21 22:30,S2_SL,4759.766,2,9615.692,-96.16,-1.00,50.77,0.53,-96.16,-1.00,7805.15,78.05
198,Entry long,2026-04-20 23:30,S2_LE,4807.846,2,9615.692,-96.16,-1.00,50.77,0.53,-96.16,-1.00,7805.15,78.05
199,Exit long,2026-04-23 13:30,S2_SL,4694.024,2.1,9957.024,-99.57,-1.00,26,0.26,-99.57,-1.00,7705.58,77.06
199,Entry long,2026-04-23 08:30,S2_LE,4741.44,2.1,9957.024,-99.57,-1.00,26,0.26,-99.57,-1.00,7705.58,77.06
200,Exit long,2026-04-25 04:30,Open,4708.62,2.1,9871.7913,16.31,0.17,88.82,0.90,-91.07,-0.92,7721.89,77.22
200,Entry long,2026-04-23 17:30,S2_LE,4700.853,2.1,9871.7913,16.31,0.17,88.82,0.90,-91.07,-0.92,7721.89,77.22
