Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
73,Exit long,2020-04-07 01:00,S2_LX_TP1,1650.941,6.1,9873.2831,197.46,2.00,210.02,2.13,-27.27,-0.28,2749.7,27.50
73,Entry long,2020-04-06 11:00,S2_LE,1618.571,6.1,9873.2831,197.46,2.00,210.02,2.13,-27.27,-0.28,2749.7,27.50
74,Exit long,2020-04-07 15:30,S2_SL,1644.449,6,9966.366,-99.67,-1.00,53.63,0.54,-99.67,-1.00,2650.03,26.50
74,Entry long,2020-04-07 09:30,S2_LE,1661.061,6,9966.366,-99.67,-1.00,53.63,0.54,-99.67,-1.00,2650.03,26.50
75,Exit long,2020-04-10 00:00,S2_LX_TP1,1683.367,6,9905.286,194.92,1.97,213.71,2.16,-57.49,-0.58,2844.95,28.45
75,Entry long,2020-04-08 18:00,S2_LE,1650.881,6,9905.286,194.92,1.97,213.71,2.16,-57.49,-0.58,2844.95,28.45
76,Exit long,2020-04-14 02:00,S2_LX_TP1,1716.313,5.9,9927.6999,198.55,2.00,216.29,2.18,-21.01,-0.21,3043.49,30.43
76,Entry long,2020-04-13 11:00,S2_LE,1682.661,5.9,9927.6999,198.55,2.00,216.29,2.18,-21.01,-0.21,3043.49,30.43
77,Exit long,2020-04-17 06:00,S2_SL,1705.443,5.8,9991.4918,-99.92,-1.00,96.45,0.97,-99.92,-1.00,2943.57,29.44
77,Entry long,2020-04-16 18:00,S2_LE,1722.671,5.8,9991.4918,-99.92,-1.00,96.45,0.97,-99.92,-1.00,2943.57,29.44
78,Exit long,2020-04-18 02:00,S2_SL,1679.866,5.8,9841.6488,-98.43,-1.00,38.07,0.39,-98.43,-1.00,2845.15,28.45
78,Entry long,2020-04-17 17:00,S2_LE,1696.836,5.8,9841.6488,-98.43,-1.00,38.07,0.39,-98.43,-1.00,2845.15,28.45
79,Exit long,2020-04-21 19:00,S2_SL,1661.623,5.9,9902.6131,-99.04,-1.00,143.46,1.45,-99.04,-1.00,2746.11,27.46
79,Entry long,2020-04-20 18:30,S2_LE,1678.409,5.9,9902.6131,-99.04,-1.00,143.46,1.45,-99.04,-1.00,2746.11,27.46
