Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
52,Entry long,2019-06-07 16:00,S1_LE,1335.331,7.4,9881.4494,49.4,0.50,71.85,0.73,-20.21,-0.20,537.54,5.38
53,Exit long,2019-06-11 15:30,S1_SL,1322.444,7.5,9968.1825,-49.85,-0.50,7.12,0.07,-49.85,-0.50,487.69,4.88
53,Entry long,2019-06-10 21:00,S1_LE,1329.091,7.5,9968.1825,-49.85,-0.50,7.12,0.07,-49.85,-0.50,487.69,4.88
54,Exit long,2019-06-12 11:30,S1_LX_TP1,1332.408,7.5,9943.3575,49.7,0.50,59.84,0.60,-5.11,-0.05,537.39,5.37
54,Entry long,2019-06-11 23:00,S1_LE,1325.781,7.5,9943.3575,49.7,0.50,59.84,0.60,-5.11,-0.05,537.39,5.37
55,Exit long,2019-06-14 09:00,S1_LX_TP1,1342.537,7.4,9885.3566,49.42,0.50,67.87,0.69,-31.52,-0.32,586.81,5.87
55,Entry long,2019-06-13 00:30,S1_LE,1335.859,7.4,9885.3566,49.42,0.50,67.87,0.69,-31.52,-0.32,586.81,5.87
56,Exit long,2019-06-17 15:30,S1_SL,1335.638,7.4,9933.3974,-49.68,-0.50,9.17,0.09,-49.68,-0.50,537.13,5.37
56,Entry long,2019-06-17 11:30,S1_LE,1342.351,7.4,9933.3974,-49.68,-0.50,9.17,0.09,-49.68,-0.50,537.13,5.37
57,Exit long,2019-06-18 14:30,S1_LX_TP1,1346.499,7.4,9914.5274,49.57,0.50,60.97,0.61,-21.47,-0.22,586.7,5.87
57,Entry long,2019-06-17 21:00,S1_LE,1339.801,7.4,9914.5274,49.57,0.50,60.97,0.61,-21.47,-0.22,586.7,5.87
58,Exit long,2019-06-20 16:30,S1_LX_TP2,1377.899,7.4,9962.2574,234.2,2.35,352.81,3.54,-37.38,-0.38,820.89,8.21
58,Entry long,2019-06-19 13:30,S1_LE,1346.251,7.4,9962.2574,234.2,2.35,352.81,3.54,-37.38,-0.38,820.89,8.21
59,Exit long,2019-06-21 22:00,S1_SL,1389.883,7.1,9917.7699,-49.6,-0.50,22.12,0.22,-49.6,-0.50,771.29,7.71
59,Entry long,2019-06-21 21:00,S1_LE,1396.869,7.1,9917.7699,-49.6,-0.50,22.12,0.22,-49.6,-0.50,771.29,7.71
60,Exit long,2019-06-25 11:30,S1_LX_TP2,1429.506,7.1,9974.9391,174.55,1.75,197.62,1.98,-29.97,-0.30,945.84,9.46
60,Entry long,2019-06-24 14:30,S1_LE,1404.921,7.1,9974.9391,174.55,1.75,197.62,1.98,-29.97,-0.30,945.84,9.46
61,Exit long,2019-06-26 00:30,S1_SL,1424.481,6.9,9878.3229,-49.4,-0.50,32.15,0.33,-49.4,-0.50,896.44,8.96
61,Entry long,2019-06-25 22:00,S1_LE,1431.641,6.9,9878.3229,-49.4,-0.50,32.15,0.33,-49.4,-0.50,896.44,8.96
62,Exit long,2019-06-27 14:30,S1_SL,1402.303,7,9865.457,-49.34,-0.50,41.43,0.42,-49.34,-0.50,847.1,8.47
62,Entry long,2019-06-26 21:00,S1_LE,1409.351,7,9865.457,-49.34,-0.50,41.43,0.42,-49.34,-0.50,847.1,8.47
63,Exit long,2019-07-02 04:00,S1_SL,1382.671,7.1,9866.3091,-49.34,-0.50,47.78,0.48,-49.34,-0.50,797.76,7.98
63,Entry long,2019-07-01 19:00,S1_LE,1389.621,7.1,9866.3091,-49.34,-0.50,47.78,0.48,-49.34,-0.50,797.76,7.98
64,Exit long,2019-07-03 19:30,S1_LX_TP2,1422.099,7.1,9872.7701,224.13,2.27,334.9,3.39,-16.55,-0.17,1021.89,10.22
64,Entry long,2019-07-02 09:30,S1_LE,1390.531,7.1,9872.7701,224.13,2.27,334.9,3.39,-16.55,-0.17,1021.89,10.22
65,Exit long,2019-07-04 15:30,S1_SL,1411.656,7,9931.257,-49.66,-0.50,20.46,0.21,-49.66,-0.50,972.23,9.72
65,Entry long,2019-07-04 06:00,S1_LE,1418.751,7,9931.257,-49.66,-0.50,20.46,0.21,-49.66,-0.50,972.23,9.72
66,Exit long,2019-07-05 19:30,S1_SL,1409.934,7,9919.147,-49.61,-0.50,50.25,0.51,-49.61,-0.50,922.62,9.23
66,Entry long,2019-07-04 22:30,S1_LE,1417.021,7,9919.147,-49.61,-0.50,50.25,0.51,-49.61,-0.50,922.62,9.23
67,Exit long,2019-07-08 15:30,S1_LX_TP1,1406.144,7.1,9933.965,49.66,0.50,60.35,0.61,-26.59,-0.27,972.28,9.72
67,Entry long,2019-07-08 08:30,S1_LE,1399.15,7.1,9933.965,49.66,0.50,60.35,0.61,-26.59,-0.27,972.28,9.72
68,Exit long,2019-07-09 16:30,S1_SL,1388.269,7.1,9906.2537,-49.54,-0.50,8.97,0.09,-49.54,-0.50,922.73,9.23
68,Entry long,2019-07-09 12:30,S1_LE,1395.247,7.1,9906.2537,-49.54,-0.50,8.97,0.09,-49.54,-0.50,922.73,9.23
69,Exit long,2019-07-11 06:00,S1_LX_TP2,1418.496,7.1,9898.1171,173.2,1.75,176.57,1.78,-30.4,-0.31,1095.94,10.96
69,Entry long,2019-07-09 20:30,S1_LE,1394.101,7.1,9898.1171,173.2,1.75,176.57,1.78,-30.4,-0.31,1095.94,10.96
70,Exit long,2019-07-13 03:00,S1_LX_TP1,1416.386,7,9865.387,49.32,0.50,54.31,0.55,-45.09,-0.46,1145.25,11.45
70,Entry long,2019-07-12 10:00,S1_LE,1409.341,7,9865.387,49.32,0.50,54.31,0.55,-45.09,-0.46,1145.25,11.45
71,Exit long,2019-07-15 22:30,S1_SL,1407.725,7,9903.607,-49.53,-0.50,16.65,0.17,-49.53,-0.50,1095.72,10.96
71,Entry long,2019-07-15 16:00,S1_LE,1414.801,7,9903.607,-49.53,-0.50,16.65,0.17,-49.53,-0.50,1095.72,10.96
72,Exit long,2019-07-16 20:30,S1_SL,1407.944,7,9905.147,-49.54,-0.50,22.46,0.23,-49.54,-0.50,1046.18,10.46
72,Entry long,2019-07-16 04:00,S1_LE,1415.021,7,9905.147,-49.54,-0.50,22.46,0.23,-49.54,-0.50,1046.18,10.46
73,Exit long,2019-07-17 22:30,S1_LX_TP1,1412.959,7.1,9982.1101,49.9,0.50,75.75,0.76,-44.24,-0.44,1096.08,10.96
73,Entry long,2019-07-17 10:00,S1_LE,1405.931,7.1,9982.1101,49.9,0.50,75.75,0.76,-44.24,-0.44,1096.08,10.96
74,Exit long,2019-07-19 17:30,S1_LX_TP1,1436.299,7,9956.457,97.64,0.98,214.19,2.15,-6.66,-0.07,1193.71,11.94
74,Entry long,2019-07-18 23:00,S1_LE,1422.351,7,9956.457,97.64,0.98,214.19,2.15,-6.66,-0.07,1193.71,11.94
75,Exit long,2019-07-23 09:00,S1_SL,1419.068,7,9983.407,-49.93,-0.50,26.73,0.27,-49.93,-0.50,1143.78,11.44
75,Entry long,2019-07-22 10:30,S1_LE,1426.201,7,9983.407,-49.93,-0.50,26.73,0.27,-49.93,-0.50,1143.78,11.44
76,Exit long,2019-07-25 20:30,S1_LX_TP1,1427.341,7,9941.687,49.7,0.50,94.9,0.95,-14.99,-0.15,1193.48,11.93
76,Entry long,2019-07-24 09:30,S1_LE,1420.241,7,9941.687,49.7,0.50,94.9,0.95,-14.99,-0.15,1193.48,11.93
77,Exit long,2019-07-30 09:00,S1_LX_TP1,1423.471,7,9914.737,49.56,0.50,82.17,0.83,-21.64,-0.22,1243.04,12.43
77,Entry long,2019-07-26 09:00,S1_LE,1416.391,7,9914.737,49.56,0.50,82.17,0.83,-21.64,-0.22,1243.04,12.43
78,Exit long,2019-08-01 02:00,S1_SL,1417.914,7,9975.287,-49.89,-0.50,65.16,0.65,-49.89,-0.50,1193.15,11.93
78,Entry long,2019-07-30 12:30,S1_LE,1425.041,7,9975.287,-49.89,-0.50,65.16,0.65,-49.89,-0.50,1193.15,11.93
79,Exit long,2019-08-02 01:00,S1_LX_TP1,1418.703,7,9881.522,49.4,0.50,59.15,0.60,-15.02,-0.15,1242.55,12.43
79,Entry long,2019-08-01 22:30,S1_LE,1411.646,7,9881.522,49.4,0.50,59.15,0.60,-15.02,-0.15,1242.55,12.43
80,Exit long,2019-08-05 11:30,S1_LX_TP1,1452.383,6.9,9971.5971,49.85,0.50,75.77,0.76,-5.17,-0.05,1292.4,12.92
80,Entry long,2019-08-05 09:30,S1_LE,1445.159,6.9,9971.5971,49.85,0.50,75.77,0.76,-5.17,-0.05,1292.4,12.92
81,Exit long,2019-08-06 09:00,S1_SL,1465.085,6.7,9865.4083,-49.34,-0.50,16.56,0.17,-49.34,-0.50,1243.06,12.43
81,Entry long,2019-08-06 06:30,S1_LE,1472.449,6.7,9865.4083,-49.34,-0.50,16.56,0.17,-49.34,-0.50,1243.06,12.43
82,Exit long,2019-08-06 23:00,S1_LX_TP1,1471.219,6.8,9954.5268,49.76,0.50,57.66,0.58,-13.61,-0.14,1292.82,12.93
82,Entry long,2019-08-06 18:30,S1_LE,1463.901,6.8,9954.5268,49.76,0.50,57.66,0.58,-13.61,-0.14,1292.82,12.93
83,Exit long,2019-08-08 09:30,S1_SL,1496.895,6.6,9929.1654,-49.66,-0.50,8.75,0.09,-49.66,-0.50,1243.16,12.43
83,Entry long,2019-08-08 09:00,S1_LE,1504.419,6.6,9929.1654,-49.66,-0.50,8.75,0.09,-49.66,-0.50,1243.16,12.43
84,Exit long,2019-08-08 20:30,S1_SL,1493.429,6.6,9906.171,-49.54,-0.50,18.58,0.19,-49.54,-0.50,1193.63,11.94
84,Entry long,2019-08-08 13:00,S1_LE,1500.935,6.6,9906.171,-49.54,-0.50,18.58,0.19,-49.54,-0.50,1193.63,11.94
85,Exit long,2019-08-09 02:30,S1_LX_TP1,1505.035,6.6,9883.8234,49.41,0.50,63.5,0.64,-24.74,-0.25,1243.03,12.43
85,Entry long,2019-08-09 00:00,S1_LE,1497.549,6.6,9883.8234,49.41,0.50,63.5,0.64,-24.74,-0.25,1243.03,12.43
