time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,Fast EMA
2026-04-21T14:00:00+08:00,4784.15,4790.75,4775.1,4778.807,4808.3526499999625,4839.126052243772,4777.579247756153,4808.3526499999625,4839.126052243772,4777.579247756153,4782.907144826719
2026-04-21T14:30:00+08:00,4778.82,4783.5,4774.298,4778.47,4806.5756499999625,4839.840718796908,4773.310581203017,4806.5756499999625,4839.840718796908,4773.310581203017,4780.688572413359
2026-04-21T15:00:00+08:00,4778.99,4787.66,4772.395,4783.325,4804.951049999962,4839.404577200135,4770.49752279979,4804.951049999962,4839.404577200135,4770.49752279979,4782.006786206679
2026-04-21T15:30:00+08:00,4783.15,4792.73,4780.458,4786.02,4803.137399999962,4837.567278247065,4768.70752175286,4803.137399999962,4837.567278247065,4768.70752175286,4784.01339310334
2026-04-21T16:00:00+08:00,4786.038,4789.35,4774.318,4787.105,4801.074149999962,4834.126521522519,4768.021778477405,4801.074149999962,4834.126521522519,4768.021778477405,4785.55919655167
2026-04-21T16:30:00+08:00,4787.06,4793,4784.34,4785.863,4798.990549999962,4830.316804288393,4767.664295711532,4798.990549999962,4830.316804288393,4767.664295711532,4785.711098275835
2026-04-21T17:00:00+08:00,4785.95,4788.01,4780.82,4782.162,4796.837649999963,4826.533398915034,4767.141901084892,4796.837649999963,4826.533398915034,4767.141901084892,4783.936549137918
2026-04-21T17:30:00+08:00,4782.207,4789.71,4781.56,4783.345,4794.940899999962,4822.947532919919,4766.934267080006,4794.940899999962,4822.947532919919,4766.934267080006,4783.640774568959
2026-04-21T18:00:00+08:00,4783.82,4785.98,4780.545,4782.858,4793.127299999962,4819.269061425278,4766.985538574646,4793.127299999962,4819.269061425278,4766.985538574646,4783.24938728448
2026-04-21T18:30:00+08:00,4783.04,4790.46,4782.34,4789.697,4791.420899999963,4813.457871686377,4769.3839283135485,4791.420899999963,4813.457871686377,4769.3839283135485,4786.4731936422395
2026-04-21T19:00:00+08:00,4789.65,4790.37,4774.72,4783.54,4789.685399999962,4808.179774164016,4771.1910258359085,4789.685399999962,4808.179774164016,4771.1910258359085,4785.00659682112
2026-04-21T19:30:00+08:00,4783.587,4798.1,4782.8,4794.524,4788.895099999962,4804.988144693741,4772.802055306184,4788.895099999962,4804.988144693741,4772.802055306184,4789.765298410561
2026-04-21T20:00:00+08:00,4794.49,4797.02,4778.84,4780.771,4787.559899999962,4801.560354090052,4773.559445909872,4787.559899999962,4801.560354090052,4773.559445909872,4785.26814920528
2026-04-21T20:30:00+08:00,4780.771,4790.495,4766.035,4778.48,4786.1450999999615,4797.575029813456,4774.715170186467,4786.1450999999615,4797.575029813456,4774.715170186467,4781.87407460264
2026-04-21T21:00:00+08:00,4778.62,4783.92,4760.65,4774.48,4784.941099999962,4795.951721904918,4773.930478095006,4784.941099999962,4795.951721904918,4773.930478095006,4778.17703730132
2026-04-21T21:30:00+08:00,4774.822,4794.42,4769.84,4778.825,4784.035099999961,4793.864294451132,4774.20590554879,4784.035099999961,4793.864294451132,4774.20590554879,4778.50101865066
2026-04-21T22:00:00+08:00,4779.031,4782.55,4769.36,4774.028,4783.132999999961,4793.156692552935,4773.109307446986,4783.132999999961,4793.156692552935,4773.109307446986,4776.26450932533
2026-04-21T22:30:00+08:00,4774.067,4775.04,4723.07,4739.16,4780.643499999961,4801.989258815141,4759.297741184781,4780.643499999961,4801.989258815141,4759.297741184781,4757.712254662665
2026-04-21T23:00:00+08:00,4738.982,4757.76,4727.31,4742.402,4778.394599999961,4805.205373814446,4751.583826185477,4778.394599999961,4805.205373814446,4751.583826185477,4750.057127331333
2026-04-21T23:30:00+08:00,4742.245,4750.18,4736.14,4740.95,4776.240599999963,4807.454808234072,4745.026391765854,4776.240599999963,4807.454808234072,4745.026391765854,4745.503563665667
2026-04-22T00:00:00+08:00,4741.67,4746.93,4719.48,4720.82,4773.341249999962,4812.7579111102705,4733.924588889654,4773.341249999962,4812.7579111102705,4733.924588889654,4733.161781832833
2026-04-22T00:30:00+08:00,4720.82,4727.99,4707.68,4710.92,4769.963749999962,4817.734712132893,4722.19278786703,4769.963749999962,4817.734712132893,4722.19278786703,4722.040890916416
2026-04-22T01:00:00+08:00,4710.865,4719.06,4697.04,4699.95,4765.794999999963,4821.984245895517,4709.605754104408,4765.794999999963,4821.984245895517,4709.605754104408,4710.9954454582075
